Jurisdiction,County,State,FIPS,DoJ Status,URL
St Louis,St Louis City,MO,29510,DoJ Agreement,http://www.washingtonpost.com/blogs/federal-eye/wp/2014/09/05/five-facts-about-dojs-civil-rights-investigations-under-eric-holder/
Las Vegas,Clark County,NV,32003,DoJ Agreement,http://www.washingtonpost.com/blogs/federal-eye/wp/2014/09/05/five-facts-about-dojs-civil-rights-investigations-under-eric-holder/
New Orleans,Orleans Parish,LA,22071,DoJ Consent Decree,http://www.justice.gov/crt/about/spl/nopd.php
Puerto Rico,,PR,,Voluntary Agreement,http://www.justice.gov/crt/about/spl/pr.php
Alamance County,Alamance County,NC,37001,Not Cooperating with DoJ Investigation,http://www.justice.gov/crt/about/spl/documents/acso_complaint_12-20-12.pdf
Colorado City,Mohave County,AZ,04015,DoJ Complaint filed. Not Cooperating.,http://www.justice.gov/crt/about/spl/documents/coloradocity_complaint_6-21-12.pdf
Maricopa County,Maricopa County,AZ,04013,DoJ Found Unlawful Discrimination,http://www.justice.gov/crt/about/spl/documents/mcso_findletter_12-15-11.pdf
Meridian,Lauderdale County,MS,28075,Not Cooperating with DoJ,http://www.washingtonpost.com/blogs/federal-eye/wp/2014/09/05/five-facts-about-dojs-civil-rights-investigations-under-eric-holder/
Albuquerque,Bernalillo County,NM,35001,DoJ Open Investigation,http://www.justice.gov/crt/about/spl/documents/apd_findings_4-10-14.pdf
Cleveland,Cuyahoga County,OH,39035,DoJ Open Investigation,
Miami,Miami-Dade County,FL,12086,DoJ Open Investigation,http://www.justice.gov/crt/about/spl/documents/miami_findings_7-9-13.pdf
Newark,Essex County,NJ,34013,DoJ Open Investigation,http://www.justice.gov/crt/about/spl/documents/newark_findings_7-22-14.pdf
Austin,Travis County,TX,48453,DoJ Investigation Closed,http://texascivilrightsproject.org/docs/doj2011.pdf
Escambia County,Escambia County,FL,12033,DoJ Technical Assistance,http://www.justice.gov/crt/about/spl/documents/escambia_taletter_9-4-12.pdf
Harvey,Cook County,IL,17031,DoJ Technical Assistance,http://www.justice.gov/crt/about/spl/documents/harvey_TA_1-18-12.pdf
Schenectady,Schenectady County,NY,36093,DoJ Investigation Closed,http://www.justice.gov/crt/about/spl/documents/schenectady_ta.pdf
Inglewood,Los Angeles County,CA,06037,DoJ Technical Assistance,http://www.justice.gov/crt/about/spl/documents/inglewood_pd_Jail_findlet_12-28-09.pdf
Detroit,Wayne County,MI,26163,DoJ Technical Assistance,http://www.justice.gov/crt/about/spl/documents/dpd/detroit_cover.php
Beacon,Dutchess County,NY,36027,DoJ Technical Assistance,http://www.justice.gov/crt/about/spl/documents/beacon_settlement_12-23-10.pdf
Yonkers,Westchester County,NY,36119,DoJ Technical Assistance,http://www.justice.gov/crt/about/spl/documents/YonkersPD_talet_06-09-09.pdf
Lorain,Lorain County,OH,39093,DoJ Technical Assistance,http://www.justice.gov/crt/about/spl/documents/lorian_ta_5-16-12.pdf
Warren,Trumbull County,OH,39155,DoJ Technical Assistance,http://www.justice.gov/crt/about/spl/documents/wpd_talet_3-2-06.pdf
Easton,Northampton County,PA,42095,DoJ Technical Assistance,http://www.justice.gov/crt/about/spl/documents/easton_talet_11-26-07.pdf
East Haven,New Haven,CT,09009,DoJ Settlement Agreement,http://www.justice.gov/crt/about/spl/documents/easthaven_findletter_12-19-11.pdf
Washington,District of Columbia,DC,11001,DoJ Settlement Agreement,http://www.justice.gov/crt/about/spl/documents/dcfindings.php
Portland,Multnomah,OR,41051,DoJ Settlement Agreement,http://www.justice.gov/crt/about/spl/documents/ppb_findings_9-12-12.pdf
Seattle,King,WA,53033,DoJ Settlement Agreement,http://www.justice.gov/crt/about/spl/seattlepd.php
Baltimore,Baltimore city,MD,24510,DoJ Open Investigation,http://www.justice.gov/crt/about/spl/documents/Sharp_SOI_1-10-12.pdf
New York,New York,NY,36061,DoJ Open Investigation,http://www.justice.gov/crt/about/spl/documents/padilla_soi_11-22-13.pdf
Ferguson,St. Louis County,MO,29189,DoJ Open Investigation,