Name,County,State,FIPS,URL
Ezell Ford,Los Angeles,CA,06037,https://storify.com/KilledByCops/ezell-ford-la-county/
Eric Garner,Richmond,NY,36085,https://storify.com/KilledByCops/eric-garner/
Michael Brown,St. Louis County,MO,29189,https://storify.com/KilledByCops/michael-brown-jr-ferguson-county/
Ramarley Graham,New York,NY,36061,https://storify.com/KilledByCops/ramarley-graham-nyc-county/
Oscar Grant,Alameda,CA,06001,https://storify.com/KilledByCops/oscar-grant-alameda-county/
Rekia Boyd,Cook,IL,17031,https://storify.com/KilledByCops/rekia-boyd/
Johnathan Ferril,Mecklenburg,NC,37119,https://storify.com/KilledByCops/jonathon-ferrell-north-carolina/
Tanisha Anderson,Cuyahoga,OH,39035,https://storify.com/KilledByCops/tanesha-anderson-ohio/
Vonderritt Myers,St. Louis County,MO,29510,https://storify.com/KilledByCops/vonderritt-meyers-ferguson-st-louis-county/
John Crawford,Greene,OH,39057,https://storify.com/KilledByCops/john-crawford-beaver-creek/
Aiyana Stanley-Jones,Wayne County,MI,26163,https://storify.com/KilledByCops/aiyana-stanley-jones/
Tarika Wilson,Auglaize County,OH,39011,https://storify.com/KilledByCops/tarika-wilson/
Alan Blueford,Alameda County,CA,06001,https://storify.com/KilledByCops/alan-blueford-oakland-alameda-county/
Kathryn Johnston,Fulton County,GA,13121,https://storify.com/KilledByCops/kathryn-johnston/